,Index
2010-01-04,100.0
2010-01-04,100.0
2010-01-05,100.81141176630015
2010-01-06,100.91049582472321
2010-01-07,101.04520740644284
2010-01-08,101.13142476367733
2010-01-11,100.90934108866033
2010-01-12,100.7181456595819
2010-01-13,100.80326481113123
2010-01-14,100.78607808409008
2010-01-15,100.74032980155359
2010-01-19,100.67033578832282
2010-01-20,100.19193262830026
2010-01-21,99.75132815282801
2010-01-22,99.76622212576717
2010-01-25,99.71741875651011
2010-01-26,99.64877501578913
2010-01-27,99.72003791469523
2010-01-28,99.62867046148271
2010-01-29,99.30520321991172
2010-02-01,99.57092829168114
2010-02-02,99.82718285143254
2010-02-03,99.81464677205177
2010-02-04,99.46706283993824
2010-02-05,98.97935693326292
2010-02-08,99.0312215122947
2010-02-09,99.16529412586003
2010-02-10,99.30177149331368
2010-02-11,99.75585129998016
2010-02-12,99.63370783618228
2010-02-16,100.33253033072064
2010-02-17,100.51210291527812
2010-02-18,100.77012926861065
2010-02-19,100.67239493695128
2010-02-22,100.62238270542015
2010-02-23,100.51831640991186
2010-02-24,100.64311429673207
2010-02-25,100.35896506398761
2010-02-26,101.0751288505259
2010-03-01,101.566995560548
2010-03-02,101.6950168192989
2010-03-03,101.63689832944773
2010-03-04,101.70175338198871
2010-03-05,102.03848323045193
2010-03-08,101.8422332740242
2010-03-09,101.5344811370334
2010-03-10,101.4470186213576
2010-03-11,101.82967986977691
2010-03-12,101.77884017846706
2010-03-15,101.72956875291185
2010-03-16,101.94385218419954
2010-03-17,102.15853248740787
2010-03-18,102.25960867631295
2010-03-19,102.15220817618147
2010-03-22,101.8582091929651
2010-03-23,102.11385574343566
2010-03-24,102.12891913810186
2010-03-25,102.14058988631245
2010-03-26,102.1502304133607
2010-03-29,102.1227910297813
2010-03-30,102.1870720237366
2010-03-31,102.21417129237228
2010-04-01,103.02085043641283
2010-04-05,103.36809173218654
2010-04-06,103.30438508553625
2010-04-07,102.92233082307023
2010-04-08,102.88894305776854
2010-04-09,102.85279907725867
2010-04-12,102.96058033650736
2010-04-13,103.1714490965264
2010-04-14,104.04698239193729
2010-04-15,104.02914909925822
2010-04-16,103.96154038103526
2010-04-19,103.87790903912462
2010-04-20,104.08850748729209
2010-04-21,104.51155315041777
2010-04-22,104.14451911804785
2010-04-23,104.00121583312108
2010-04-26,104.11594905810259
2010-04-27,104.32179340802891
2010-04-28,104.48280563402112
2010-04-29,103.7542866189674
2010-04-30,103.5781378282323
2010-05-03,103.71061322840156
2010-05-04,103.27056166201956
2010-05-05,103.24803486527009
2010-05-06,103.40527859897998
2010-05-07,103.90829018180807
2010-05-10,103.67771231033154
2010-05-11,103.73032720012863
2010-05-12,103.49191743330546
2010-05-13,103.5104747914283
2010-05-14,103.34651595745036
2010-05-17,103.32562820800646
2010-05-18,103.28524831041142
2010-05-19,103.71874237082969
2010-05-20,103.97812464899735
2010-05-21,104.10330692236192
2010-05-24,104.08761370565396
2010-05-25,104.01854778097338
2010-05-26,104.34102896660364
2010-05-27,104.36182423169681
2010-05-28,104.35547651204872
2010-06-01,104.53045078249521
2010-06-02,104.42344078926205
2010-06-03,104.45180043577076
2010-06-04,104.2472598625472
2010-06-07,103.81887869598958
2010-06-08,103.69803017013407
2010-06-09,103.81795018759742
2010-06-10,104.06582844615221
2010-06-11,104.07640436982167
2010-06-14,104.37254169967092
2010-06-15,104.63743044621056
2010-06-16,104.70123859846962
2010-06-17,104.87461789895289
2010-06-18,105.30852975172078
2010-06-21,105.91320037113616
2010-06-22,105.92489447705387
2010-06-23,105.86625857803125
2010-06-24,105.78976961604525
2010-06-25,105.74789249056299
2010-06-28,105.70495811017464
2010-06-29,105.39471192686422
2010-06-30,105.54244876784159
2010-07-01,105.42776771830079
2010-07-02,105.38953582457333
2010-07-06,105.54750733651727
2010-07-07,105.72861268615209
2010-07-08,106.04774485371763
2010-07-09,106.42965480653697
2010-07-12,106.19107083038541
2010-07-13,106.64240751230084
2010-07-14,106.47577252389168
2010-07-15,106.4208175131085
2010-07-16,106.21778993623079
2010-07-19,106.27270791080173
2010-07-20,106.39847388542914
2010-07-21,106.67047659042774
2010-07-22,106.82472746541197
2010-07-23,107.11057894090658
2010-07-26,107.16144206712619
2010-07-27,107.26452172558923
2010-07-28,107.36007420097522
2010-07-29,107.10656807483538
2010-07-30,107.38666623887792
2010-08-02,107.3693313157642
2010-08-03,108.09565501641535
2010-08-04,107.88641897198428
2010-08-05,107.83432971573076
2010-08-06,107.88089973844524
2010-08-09,108.06305376568073
2010-08-10,108.03501577931286
2010-08-11,107.95245490856705
2010-08-12,107.92114767184599
2010-08-13,108.04588689670965
2010-08-16,108.07674641829314
2010-08-17,108.13294283259545
2010-08-18,108.17556522574884
2010-08-19,107.87659809034533
2010-08-20,107.88733386924211
2010-08-23,107.75552704359355
2010-08-24,108.08129226527304
2010-08-25,107.91620617201549
2010-08-26,107.97880636524084
2010-08-27,108.29881017742795
2010-08-30,108.06160238480605
2010-08-31,108.33559609054264
2010-09-01,108.55934799706704
2010-09-02,108.7817813624496
2010-09-03,108.78040230629591
2010-09-07,108.7822705617189
2010-09-08,108.71261605229871
2010-09-09,108.5816854732035
2010-09-10,109.17114007860592
2010-09-13,109.0088513693658
2010-09-14,108.95037815421688
2010-09-15,109.0935411078347
2010-09-16,109.03114670426206
2010-09-17,109.1734546631825
2010-09-20,109.26582546410484
2010-09-21,109.13432373558459
2010-09-22,109.41273270184044
2010-09-23,109.224330115416
2010-09-24,109.47028572941701
2010-09-27,109.23856651765261
2010-09-28,109.0360791524411
2010-09-29,109.09332427088655
2010-09-30,109.16167068314788
2010-10-01,109.07880811576636
2010-10-04,109.06919191420931
2010-10-05,108.96624553166579
2010-10-06,108.70715287365022
2010-10-07,108.21406333716578
2010-10-08,108.32302834548922
2010-10-11,108.17290222830684
2010-10-12,108.03242328331702
2010-10-13,108.16826604210526
2010-10-14,108.00922778196957
2010-10-15,108.00835596626462
2010-10-18,108.32420015968248
2010-10-19,108.41022678199059
2010-10-20,108.53484573887003
2010-10-21,108.5766470810793
2010-10-22,109.26283986618506
2010-10-25,109.05886008171721
2010-10-26,109.04728823055423
2010-10-27,109.24556421078891
2010-10-28,109.03950368759348
2010-10-29,108.98744384046695
2010-11-01,109.10910765115979
2010-11-02,109.04347765829837
2010-11-03,108.72452982822057
2010-11-04,108.79327706441245
2010-11-05,108.79590409570397
2010-11-08,108.50711694473489
2010-11-09,108.75294180601098
2010-11-10,108.72650154187176
2010-11-11,108.78070803299262
2010-11-12,108.76772204313792
2010-11-15,108.71371597789565
2010-11-16,108.65976503015717
2010-11-17,108.40596051074846
2010-11-18,108.40293494563872
2010-11-19,108.35180467405172
2010-11-22,108.43265341493282
2010-11-23,108.40183911697729
2010-11-24,108.31115284659754
2010-11-26,108.173713965418
2010-11-29,108.13860513779959
2010-11-30,108.24031865564467
2010-12-01,108.47972025152141
2010-12-02,108.1464627041177
2010-12-03,108.05511462770957
2010-12-06,108.17303438118266
2010-12-07,108.04124998610268
2010-12-08,108.01371395441593
2010-12-09,107.7987426308867
2010-12-10,107.96495541166826
2010-12-13,108.08704284713468
2010-12-14,108.08390228742584
2010-12-15,108.43275843998373
2010-12-16,108.17284987153998
2010-12-17,108.01047786287864
2010-12-20,107.88174493895325
2010-12-21,107.47991253940232
2010-12-22,108.10276758297131
2010-12-23,108.09691698602329
2010-12-27,108.00182810718451
2010-12-28,108.21176124829145
2010-12-29,107.99273904461495
2010-12-30,108.05322160047689
2010-12-31,107.95939137656154
2011-01-03,108.44594753651849
2011-01-04,108.48134836390138
2011-01-05,108.22337727876977
2011-01-06,108.16532237520698
2011-01-07,108.16131700553895
2011-01-10,108.25834138816322
2011-01-11,108.17764633525954
2011-01-12,108.45835871531878
2011-01-13,108.5525477977546
2011-01-14,108.28163158036692
2011-01-18,108.45328283648831
2011-01-19,108.48163672475336
2011-01-20,108.47991688148099
2011-01-21,108.24328192120689
2011-01-24,108.21606553670813
2011-01-25,106.63187062119694
2011-01-26,106.65819400335592
2011-01-27,106.98610847201824
2011-01-28,107.20024925697145
2011-01-31,107.07548224238941
2011-02-01,107.13203464856673
2011-02-02,107.27444314958476
2011-02-03,107.67958572146053
2011-02-04,107.81004041736881
2011-02-07,107.71057919530897
2011-02-08,108.03445005503615
2011-02-09,108.04056277545968
2011-02-10,108.10012361220001
2011-02-11,108.04175334006496
2011-02-14,107.97982948385183
2011-02-15,107.99573126755925
2011-02-16,107.89398258778037
2011-02-17,107.70100179855757
2011-02-18,107.76677111252035
2011-02-22,108.23521664744837
2011-02-23,108.31580806908285
2011-02-24,108.39103965943562
2011-02-25,107.8961807644036
2011-02-28,107.81761274763774
2011-03-01,108.21951312765611
2011-03-02,107.97615120422229
2011-03-03,107.61983951368993
2011-03-04,107.87355446396343
2011-03-07,107.98442216957154
2011-03-08,107.59473728824041
2011-03-09,107.26425017221659
2011-03-10,107.69245238325492
2011-03-11,107.84299488805013
2011-03-14,107.79492180127068
2011-03-15,107.7100515769497
2011-03-16,107.73952775005523
2011-03-17,107.36141560701897
2011-03-18,107.36231734438776
2011-03-21,107.06797359443725
2011-03-22,106.57718601288607
2011-03-23,106.65123069772278
2011-03-24,106.82764562191197
2011-03-25,107.07358723288716
2011-03-28,107.04517554661632
2011-03-29,106.93866889769102
2011-03-30,107.13230014140838
2011-03-31,107.12105339790173
2011-04-01,107.14853674332504
2011-04-04,106.81694294263635
2011-04-05,106.76824975852598
2011-04-06,106.63642321526181
2011-04-07,106.51010176442014
2011-04-08,106.65840807000173
2011-04-11,106.45811913201177
2011-04-12,107.00522046873762
2011-04-13,107.05346886801482
2011-04-14,107.86207958355497
2011-04-15,107.74266671965037
2011-04-18,107.8046889803048
