,Index
2010-01-04,100.0
2010-01-04,100.0
2010-01-05,100.92201724303827
2010-01-06,100.46588503206387
2010-01-07,100.05020331478761
2010-01-08,100.27369434525563
2010-01-11,100.18426921543575
2010-01-12,100.63319096902009
2010-01-13,100.242829724662
2010-01-14,100.24256445120206
2010-01-15,100.206407557252
2010-01-19,100.4877454639454
2010-01-20,100.15291539575892
2010-01-21,98.57442914276533
2010-01-22,99.79843530311706
2010-01-25,100.47164417602062
2010-01-26,100.14945411021198
2010-01-27,99.94015658213321
2010-01-28,100.77832693565627
2010-01-29,99.88237451642108
2010-02-01,101.20003612051747
2010-02-02,101.24230406782023
2010-02-03,101.47961080870526
2010-02-04,100.53486825330216
2010-02-05,100.56069449567023
2010-02-08,101.43650976173382
2010-02-09,100.94575725705955
2010-02-10,102.04448435522136
2010-02-11,102.21190289916785
2010-02-12,101.25563560650431
2010-02-16,102.3894016195203
2010-02-17,102.4189655711893
2010-02-18,102.5029466973301
2010-02-19,102.26784032520656
2010-02-22,102.56608712443492
2010-02-23,102.23547262966545
2010-02-24,102.38592319678226
2010-02-25,101.9751368969197
2010-02-26,102.72387021988808
2010-03-01,102.68398240101499
2010-03-02,102.81059541202696
2010-03-03,102.73806412308974
2010-03-04,102.99856448741586
2010-03-05,103.32593859934734
2010-03-08,103.12681128443309
2010-03-09,102.75495706893437
2010-03-10,102.77089581599367
2010-03-11,102.77192324399343
2010-03-12,103.07645592881593
2010-03-15,102.81035770406218
2010-03-16,102.95902203412324
2010-03-17,103.02040803421067
2010-03-18,102.96111868568912
2010-03-19,103.21679837029949
2010-03-22,103.06326852304558
2010-03-23,103.26349590827894
2010-03-24,103.35042837720033
2010-03-25,103.77047762504311
2010-03-26,103.21064499209254
2010-03-29,103.27955183249874
2010-03-30,103.35222280837368
2010-03-31,103.27027005734608
2010-04-01,103.86482943935981
2010-04-05,103.93530896711687
2010-04-06,103.40756264866394
2010-04-07,103.33849398651198
2010-04-08,103.33372971048938
2010-04-09,103.3035737033869
2010-04-12,103.47066871013888
2010-04-13,103.49684348779216
2010-04-14,103.47850039893338
2010-04-15,103.50781231834968
2010-04-16,103.86841395659192
2010-04-19,103.1937886625781
2010-04-20,103.69748640029
2010-04-21,103.68258958524736
2010-04-22,103.46564271664496
2010-04-23,102.93303345216385
2010-04-26,104.0753501202867
2010-04-27,104.09685550666039
2010-04-28,103.9121181565664
2010-04-29,103.30816931172824
2010-04-30,103.59678646034025
2010-05-03,103.01144076718265
2010-05-04,103.96485342083679
2010-05-05,105.07153205447916
2010-05-06,105.42631121493935
2010-05-07,106.10398109870788
2010-05-10,105.11575613260125
2010-05-11,105.22167672054307
2010-05-12,104.88685010184986
2010-05-13,104.90744701170364
2010-05-14,105.34829483111295
2010-05-17,104.93684641859731
2010-05-18,104.9523969775604
2010-05-19,104.7800610912594
2010-05-20,104.85183821942942
2010-05-21,105.0854780815464
2010-05-24,104.65747729549507
2010-05-25,105.11728805163685
2010-05-26,105.12074671208127
2010-05-27,105.27831660867479
2010-05-28,105.04686239723311
2010-06-01,105.61379185494091
2010-06-02,105.21026841010135
2010-06-03,105.28918710110663
2010-06-04,105.13912506856589
2010-06-07,104.29237964838181
2010-06-08,105.21429039365809
2010-06-09,105.50863009655966
2010-06-10,105.66339186066206
2010-06-11,105.59419784419289
2010-06-14,106.23085871666746
2010-06-15,106.48956540651496
2010-06-16,105.46944489243297
2010-06-17,105.76359975622972
2010-06-18,106.3021955373267
2010-06-21,106.08106267743908
2010-06-22,105.92933729768801
2010-06-23,106.09722431893765
2010-06-24,105.7427992567431
2010-06-25,105.64829921075366
2010-06-28,105.62054107664324
2010-06-29,105.41285091536099
2010-06-30,105.70960327746911
2010-07-01,105.64121871641494
2010-07-02,105.61913651731099
2010-07-06,105.80291695123029
2010-07-07,106.40223472768946
2010-07-08,106.21188831868156
2010-07-09,106.24969578401273
2010-07-12,106.18826898512437
2010-07-13,107.16888582912941
2010-07-14,106.33348591255479
2010-07-15,106.29565337882197
2010-07-16,106.09117206705916
2010-07-19,106.1339098501036
2010-07-20,106.45894768655677
2010-07-21,106.13616179499552
2010-07-22,106.40251337022144
2010-07-23,106.01590991072884
2010-07-26,106.23462574418383
2010-07-27,105.7918458923633
2010-07-28,106.28440416255663
2010-07-29,105.02756755237799
2010-07-30,106.37714079466608
2010-08-02,106.44113887578229
2010-08-03,106.64119129723339
2010-08-04,105.57961291843192
2010-08-05,105.80709480807259
2010-08-06,106.49971874418121
2010-08-09,106.62092316836966
2010-08-10,106.78063613852905
2010-08-11,105.98485895557685
2010-08-12,106.44202465379246
2010-08-13,106.62476070704858
2010-08-16,106.73490902945788
2010-08-17,106.71552385922729
2010-08-18,106.7148124099154
2010-08-19,106.0922896742884
2010-08-20,106.51449914408025
2010-08-23,106.50425278802048
2010-08-24,106.7630019999266
2010-08-25,106.55629584654123
2010-08-26,106.98870754068925
2010-08-27,107.10714212902084
2010-08-30,107.07480855133441
2010-08-31,107.6252210674662
2010-09-01,107.26246297029937
2010-09-02,107.38974929295681
2010-09-03,106.99836587298532
2010-09-07,107.26454319366361
2010-09-08,107.09676965174246
2010-09-09,106.98449712805171
2010-09-10,107.37101748748215
2010-09-13,107.19993657931371
2010-09-14,107.23564941940764
2010-09-15,108.07409929184946
2010-09-16,107.2332667323238
2010-09-17,107.01715723228457
2010-09-20,107.28309187943024
2010-09-21,107.0759726005018
2010-09-22,107.91640706091337
2010-09-23,107.19952911534669
2010-09-24,107.33892721417581
2010-09-27,107.42478061897519
2010-09-28,107.49877801142448
2010-09-29,107.52314768939888
2010-09-30,107.15209497389348
2010-10-01,107.2483622169923
2010-10-04,107.60134753953336
2010-10-05,107.81378775703097
2010-10-06,107.12314974776139
2010-10-07,106.67555038757934
2010-10-08,107.5960965109801
2010-10-11,107.7067629149732
2010-10-12,107.8287770648035
2010-10-13,107.68270607908913
2010-10-14,107.60790523088036
2010-10-15,107.70361046156043
2010-10-18,108.02211506859734
2010-10-19,108.27585598558137
2010-10-20,107.8122274209466
2010-10-21,107.84628671357731
2010-10-22,108.0399635867322
2010-10-25,107.97283853085604
2010-10-26,108.151527435249
2010-10-27,107.86568923567741
2010-10-28,107.85320572511165
2010-10-29,108.10466497077233
2010-11-01,108.4230923400123
2010-11-02,108.34273651203473
2010-11-03,107.88767952579556
2010-11-04,108.48979246782588
2010-11-05,108.34224501552475
2010-11-08,108.3247393015936
2010-11-09,108.51325782928821
2010-11-10,108.43245191459272
2010-11-11,108.1743910866503
2010-11-12,108.29578314246176
2010-11-15,108.29478471383906
2010-11-16,108.28422619959699
2010-11-17,107.79814150638549
2010-11-18,108.28097777311862
2010-11-19,108.3240107661315
2010-11-22,108.64840382187862
2010-11-23,108.53249638901025
2010-11-24,108.81690986630541
2010-11-26,108.58148035921914
2010-11-29,108.62046676575672
2010-11-30,108.8645446804357
2010-12-01,109.22499791119614
2010-12-02,108.60727762078803
2010-12-03,108.82032787473503
2010-12-06,108.89413552646656
2010-12-07,108.89951642116726
2010-12-08,108.77439375016223
2010-12-09,107.89629549939144
2010-12-10,109.10924011927574
2010-12-13,109.13371084600533
2010-12-14,108.7776055591468
2010-12-15,109.13429513402583
2010-12-16,108.8874629011896
2010-12-17,108.5850220054201
2010-12-20,108.08988783486305
2010-12-21,108.41005800434903
2010-12-22,108.44361308189929
2010-12-23,108.73194434215453
2010-12-27,108.33142194390936
2010-12-28,108.45622055158103
2010-12-29,108.30950770358429
2010-12-30,108.22508705727317
2010-12-31,108.3140182870623
2011-01-03,108.38857368875644
2011-01-04,108.34825946354212
2011-01-05,108.0474394510081
2011-01-06,107.96032306997203
2011-01-07,107.87648037530435
2011-01-10,108.1161622421139
2011-01-11,107.59964610275024
2011-01-12,108.15385885187602
2011-01-13,108.31237894739266
2011-01-14,107.54063078773308
2011-01-18,108.99399336451054
2011-01-19,108.83178074282048
2011-01-20,108.21886698138643
2011-01-21,108.12442060630102
2011-01-24,108.11496479914774
2011-01-25,106.61074923153376
2011-01-26,107.92535762205193
2011-01-27,108.42729911975607
2011-01-28,108.65333675191809
2011-01-31,107.96457836007279
2011-02-01,108.33275609536956
2011-02-02,108.7924836416876
2011-02-03,109.79340653673927
2011-02-04,109.79305528311191
2011-02-07,109.55546748227069
2011-02-08,110.175588772785
2011-02-09,109.87578395499708
2011-02-10,110.01863227522882
2011-02-11,110.044796735509
2011-02-14,109.4308668688728
2011-02-15,110.26690065937491
2011-02-16,110.07882937400652
2011-02-17,110.16633726366997
2011-02-18,110.14495918180462
2011-02-22,110.66749830425397
2011-02-23,110.4278961191502
2011-02-24,110.5916975948298
2011-02-25,109.58879943849782
2011-02-28,109.40397309946844
2011-03-01,109.66116910974873
2011-03-02,109.35419984408644
2011-03-03,109.33000521803972
2011-03-04,110.25765474415128
2011-03-07,110.3474938815012
2011-03-08,110.08225989548022
2011-03-09,109.5507647893634
2011-03-10,110.87169453807581
2011-03-11,110.12434759897563
2011-03-14,110.14660188669573
2011-03-15,109.77445956442185
2011-03-16,110.30001046693795
2011-03-17,109.73508940424045
2011-03-18,110.37730146049185
2011-03-21,110.04826422997957
2011-03-22,108.98412104197604
2011-03-23,110.18765124914832
2011-03-24,110.33770409555964
2011-03-25,111.42355990023556
2011-03-28,111.2342299375653
2011-03-29,111.47259787659054
2011-03-30,112.17629077254836
2011-03-31,111.29445426604202
2011-04-01,111.36352476428512
2011-04-04,111.20376702637768
2011-04-05,111.03854580269211
2011-04-06,111.2682698894756
2011-04-07,111.00001646909172
2011-04-08,111.26916988033112
2011-04-11,111.33692650273298
2011-04-12,111.76853589037661
2011-04-13,110.91884345170439
2011-04-14,112.08243000063067
2011-04-15,110.6809553563278
2011-04-18,110.74720062686305
