,Index
2010-01-04,100.0
2010-01-04,100.0
2010-01-05,101.50422773590083
2010-01-06,101.97126497678609
2010-01-07,101.97126497678609
2010-01-08,101.97126497678609
2010-01-11,101.97126497678609
2010-01-12,102.14481747294425
2010-01-13,102.2386466867774
2010-01-14,102.14813380249694
2010-01-15,102.02637874148084
2010-01-19,101.7999310644495
2010-01-20,101.82676833545777
2010-01-21,100.92886300302806
2010-01-22,101.21682720063679
2010-01-25,101.19691826516195
2010-01-26,101.19691826516195
2010-01-27,100.90596820805057
2010-01-28,101.05402320718937
2010-01-29,100.34266296399437
2010-02-01,100.66658036362884
2010-02-02,101.10041298735275
2010-02-03,101.47137720778575
2010-02-04,100.68406633119854
2010-02-05,100.43822211200033
2010-02-08,100.2913053688009
2010-02-09,100.46019668162342
2010-02-10,100.34753145593288
2010-02-11,100.52157591557632
2010-02-12,100.52593600420728
2010-02-16,101.08186234204383
2010-02-17,101.18534567031035
2010-02-18,101.41936383231598
2010-02-19,101.28508591914918
2010-02-22,101.51422893062549
2010-02-23,101.25898101983685
2010-02-24,101.30651541869335
2010-02-25,100.98413797387252
2010-02-26,101.44816306010544
2010-03-01,101.62585914598225
2010-03-02,101.89839718404495
2010-03-03,101.82840910967563
2010-03-04,101.83512028093276
2010-03-05,102.29095381475774
2010-03-08,102.58348869350634
2010-03-09,102.42439340198843
2010-03-10,102.33013072056293
2010-03-11,102.36968298627842
2010-03-12,102.50621857763664
2010-03-15,102.20049334510114
2010-03-16,102.24628151430741
2010-03-17,102.0404438579574
2010-03-18,102.24549723302171
2010-03-19,102.76863521999732
2010-03-22,102.58338419726142
2010-03-23,102.80951742823486
2010-03-24,102.88780253142146
2010-03-25,102.8691323887174
2010-03-26,102.78648478797925
2010-03-29,102.78880543062778
2010-03-30,102.81623076406406
2010-03-31,102.71837398498086
2010-04-01,102.9252120883804
2010-04-05,103.26030785736867
2010-04-06,103.38385916687432
2010-04-07,103.27782715741189
2010-04-08,103.20544118328353
2010-04-09,103.45949423141539
2010-04-12,103.43151881484484
2010-04-13,103.84505294960218
2010-04-14,103.97852571894391
2010-04-15,103.8425578758123
2010-04-16,103.86874880924546
2010-04-19,103.69905190930858
2010-04-20,103.80267086094408
2010-04-21,103.88833244824585
2010-04-22,104.19381380644677
2010-04-23,104.34748129299481
2010-04-26,104.5623424767276
2010-04-27,104.76470646358325
2010-04-28,104.47842301808329
2010-04-29,104.48347934923675
2010-04-30,103.88261094846334
2010-05-03,104.12267741806401
2010-05-04,104.17789614474518
2010-05-05,104.25860576590014
2010-05-06,104.25531905178144
2010-05-07,104.22602175900872
2010-05-10,104.11151816194663
2010-05-11,103.9034861114342
2010-05-12,103.77341385859201
2010-05-13,103.76557022083341
2010-05-14,103.18053719642697
2010-05-17,103.23240856553187
2010-05-18,103.11174253542117
2010-05-19,103.34964825975842
2010-05-20,103.21271107855428
2010-05-21,103.52612253113374
2010-05-24,103.67758057333495
2010-05-25,103.854853586446
2010-05-26,103.88666493248525
2010-05-27,104.18038060760476
2010-05-28,103.61018841476984
2010-06-01,103.61390916746019
2010-06-02,103.64239268390251
2010-06-03,103.6411760636499
2010-06-04,103.43052573360056
2010-06-07,103.37627876493772
2010-06-08,102.97790892212934
2010-06-09,102.87258862310165
2010-06-10,103.23561106592621
2010-06-11,103.28388563335521
2010-06-14,103.51007838127204
2010-06-15,104.14053711279527
2010-06-16,104.33875285289392
2010-06-17,104.26595566393654
2010-06-18,104.32014145355495
2010-06-21,104.77533433569043
2010-06-22,104.71529982849097
2010-06-23,104.77007018469729
2010-06-24,104.5671822563855
2010-06-25,104.6153744264137
2010-06-28,105.01223753276288
2010-06-29,104.47577148000883
2010-06-30,104.57639443687461
2010-07-01,104.53284325600171
2010-07-02,104.45526317847998
2010-07-06,104.87410488885543
2010-07-07,105.15356529330222
2010-07-08,105.44957702566465
2010-07-09,105.61041976214739
2010-07-12,105.56568057406582
2010-07-13,105.37660593959087
2010-07-14,105.09799864645318
2010-07-15,104.84600662057056
2010-07-16,104.69967966866415
2010-07-19,104.73798668254824
2010-07-20,104.91985830199144
2010-07-21,105.38477362374223
2010-07-22,104.94279307553214
2010-07-23,105.21692555506232
2010-07-26,105.29300814105562
2010-07-27,105.59258065567357
2010-07-28,105.67914826552408
2010-07-29,106.04831606261551
2010-07-30,106.11310998253349
2010-08-02,106.15635009876456
2010-08-03,106.13607840416405
2010-08-04,105.74375199325782
2010-08-05,105.54183943626151
2010-08-06,105.61008009788412
2010-08-09,105.6881064377668
2010-08-10,105.93752875288118
2010-08-11,105.99039074904614
2010-08-12,105.80554860983922
2010-08-13,105.95502043554657
2010-08-16,105.91945221879206
2010-08-17,106.11139176414926
2010-08-18,106.3565341548048
2010-08-19,106.15124698381933
2010-08-20,105.92899748634308
2010-08-23,105.99653112363778
2010-08-24,106.03545492904958
2010-08-25,106.04389726446948
2010-08-26,105.92709228735686
2010-08-27,105.97422900340459
2010-08-30,105.82682089062128
2010-08-31,106.02532085846926
2010-09-01,106.54471234056663
2010-09-02,106.47658591061304
2010-09-03,106.54312733941791
2010-09-07,106.72559316079295
2010-09-08,106.83596637141304
2010-09-09,106.66795458715761
2010-09-10,106.76936681479242
2010-09-13,106.84397288341859
2010-09-14,106.80933465103395
2010-09-15,106.71531428080893
2010-09-16,106.92983434076831
2010-09-17,107.16031088105268
2010-09-20,107.1613195432644
2010-09-21,107.24161826919791
2010-09-22,107.12041664283193
2010-09-23,107.07550872949898
2010-09-24,107.2058352702306
2010-09-27,107.23892162199515
2010-09-28,107.27840150386153
2010-09-29,107.41398101559015
2010-09-30,107.54773554905029
2010-10-01,107.53516139422686
2010-10-04,107.44392307277109
2010-10-05,107.42630631759205
2010-10-06,107.1041290543671
2010-10-07,106.77520417264242
2010-10-08,106.54023053069173
2010-10-11,106.47284664073838
2010-10-12,106.29726411318676
2010-10-13,106.57722879544336
2010-10-14,106.30484578087012
2010-10-15,106.13728863433765
2010-10-18,106.82873932758314
2010-10-19,106.92448656269477
2010-10-20,106.7190752700247
2010-10-21,106.44763474397288
2010-10-22,106.90542234199502
2010-10-25,106.86126208758397
2010-10-26,107.1988833228105
2010-10-27,107.05251408533634
2010-10-28,106.73891791883645
2010-10-29,106.5914687409153
2010-11-01,106.71110731729998
2010-11-02,106.56941694746745
2010-11-03,106.91899855161695
2010-11-04,107.28849942203398
2010-11-05,107.28904055278737
2010-11-08,106.9784401746042
2010-11-09,107.02020345804578
2010-11-10,107.2927587153906
2010-11-11,107.1955977023684
2010-11-12,107.33395282102248
2010-11-15,107.02520706408863
2010-11-16,107.1066523180414
2010-11-17,107.2722915986872
2010-11-18,107.23350084961032
2010-11-19,107.06300000149552
2010-11-22,107.04054312395125
2010-11-23,106.95969305672948
2010-11-24,107.18019058129833
2010-11-26,107.21010795291504
2010-11-29,107.28804762771887
2010-11-30,107.44942192306128
2010-12-01,107.64105683863357
2010-12-02,107.74906596244826
2010-12-03,107.45565145380259
2010-12-06,107.56412099060468
2010-12-07,107.52436049526283
2010-12-08,107.77286587791401
2010-12-09,107.51015236343716
2010-12-10,107.77424290477501
2010-12-13,107.7711144164119
2010-12-14,107.74110632407165
2010-12-15,107.9288648557251
2010-12-16,107.6843859692897
2010-12-17,107.66048198043623
2010-12-20,107.62745247008468
2010-12-21,107.64524220975169
2010-12-22,107.78804025793464
2010-12-23,107.71034806673649
2010-12-27,107.83820746366924
2010-12-28,108.00684949055466
2010-12-29,108.00145763272685
2010-12-30,107.94610098467248
2010-12-31,107.84491371735636
2011-01-03,107.48619291891497
2011-01-04,107.79874444147067
2011-01-05,107.55723828079111
2011-01-06,107.61291120215893
2011-01-07,107.99854016188242
2011-01-10,108.23420553355888
2011-01-11,107.93845412153698
2011-01-12,108.114173396886
2011-01-13,108.16755339475836
2011-01-14,107.7584627317682
2011-01-18,107.84469968299334
2011-01-19,108.37380925783216
2011-01-20,108.24295877904575
2011-01-21,108.0977301187859
2011-01-24,108.45032556865692
2011-01-25,107.1946694305749
2011-01-26,107.08345363327744
2011-01-27,107.20466854928955
2011-01-28,107.39544871029689
2011-01-31,107.18083895575695
2011-02-01,107.09837718095596
2011-02-02,107.15690456424427
2011-02-03,107.37605431128706
2011-02-04,107.33654701818712
2011-02-07,106.96031801394243
2011-02-08,106.86266193598838
2011-02-09,107.25204060620304
2011-02-10,107.104490930742
2011-02-11,106.88272558164003
2011-02-14,106.63182822236385
2011-02-15,106.78754310552894
2011-02-16,106.81833820302552
2011-02-17,106.98906326684084
2011-02-18,107.02970860480099
2011-02-22,107.79632671047861
2011-02-23,107.99804546069053
2011-02-24,108.19706451876432
2011-02-25,108.00164067066768
2011-02-28,108.00604616572556
2011-03-01,108.441103892224
2011-03-02,108.55253895083852
2011-03-03,108.20459153254359
2011-03-04,108.3215676004356
2011-03-07,108.46152545629991
2011-03-08,108.17027201693917
2011-03-09,108.00165536428224
2011-03-10,108.24344510400954
2011-03-11,107.92246828221737
2011-03-14,108.0313944978789
2011-03-15,107.16405701736892
2011-03-16,107.09966626283855
2011-03-17,107.1797323391809
2011-03-18,107.41048991629556
2011-03-21,107.35281347755793
2011-03-22,106.87367988280653
2011-03-23,106.88137814946681
2011-03-24,107.31909327926283
2011-03-25,107.28130551148743
2011-03-28,107.30979753096497
2011-03-29,107.2191031060583
2011-03-30,107.32226049263714
2011-03-31,107.39373273691706
2011-04-01,107.38885390564069
2011-04-04,107.25321734836714
2011-04-05,106.92102906314297
2011-04-06,106.95870766758756
2011-04-07,107.0473244085557
2011-04-08,107.18486103027463
2011-04-11,107.18083467810011
2011-04-12,107.4935177459115
2011-04-13,107.34380340064781
2011-04-14,107.60098819165749
2011-04-15,107.74470172858021
2011-04-18,107.66502989761186
