,Index
2010-01-04,100.0
2010-01-04,100.0
2010-01-05,101.40272357300648
2010-01-06,100.48240262622505
2010-01-07,101.16801443486584
2010-01-08,101.66700877927393
2010-01-11,102.01701962303126
2010-01-12,101.26599109273798
2010-01-13,101.22685525506631
2010-01-14,101.68663516939641
2010-01-15,101.57533568307159
2010-01-19,101.50560820584764
2010-01-20,102.21237201867538
2010-01-21,101.27583473498645
2010-01-22,101.93960117402459
2010-01-25,101.75120112511965
2010-01-26,101.47381904657331
2010-01-27,101.57006369838301
2010-01-28,101.66844922584528
2010-01-29,101.96822002996173
2010-02-01,101.59703364528949
2010-02-02,102.16809151102699
2010-02-03,101.68039833271773
2010-02-04,100.47357979552169
2010-02-05,102.53121655267414
2010-02-08,101.16208882145789
2010-02-09,101.66148710969355
2010-02-10,101.55213892245902
2010-02-11,101.32801861852616
2010-02-12,101.14779277890354
2010-02-16,101.95083217663213
2010-02-17,101.7487488356181
2010-02-18,102.49712079134567
2010-02-19,102.1438346255169
2010-02-22,102.08274340407532
2010-02-23,101.83571138220101
2010-02-24,101.74898113791389
2010-02-25,101.50413812663979
2010-02-26,102.44860784428623
2010-03-01,102.28968849533683
2010-03-02,102.25431174083029
2010-03-03,102.12464226971348
2010-03-04,102.52876989740298
2010-03-05,102.01820569792919
2010-03-08,102.36700097252938
2010-03-09,101.95445042022426
2010-03-10,101.75948981182114
2010-03-11,102.06074508146845
2010-03-12,102.29526604001308
2010-03-15,102.33836391977633
2010-03-16,101.41741447397698
2010-03-17,101.27377527027333
2010-03-18,101.70422330773334
2010-03-19,101.89361768184145
2010-03-22,101.36331608495323
2010-03-23,101.5519576003222
2010-03-24,101.49381101031204
2010-03-25,102.18112498122173
2010-03-26,101.59817501214685
2010-03-29,101.66845539475537
2010-03-30,102.10861874572198
2010-03-31,101.87613500823
2010-04-01,102.00544259224013
2010-04-05,101.99339382915548
2010-04-06,102.10320143022207
2010-04-07,102.88451512382305
2010-04-08,102.67344720054277
2010-04-09,102.60836786068116
2010-04-12,103.17372966565806
2010-04-13,102.9876371352006
2010-04-14,103.3885789288669
2010-04-15,103.34147369641946
2010-04-16,103.55326879512518
2010-04-19,103.26973484009916
2010-04-20,103.63447970020108
2010-04-21,103.83249754784532
2010-04-22,103.8168267592567
2010-04-23,103.50387210821694
2010-04-26,104.48052920259943
2010-04-27,103.47452399558433
2010-04-28,103.71053152302505
2010-04-29,103.02297464365984
2010-04-30,103.09816479961948
2010-05-03,103.08920963189144
2010-05-04,102.86873224237152
2010-05-05,104.70392829379381
2010-05-06,104.82740545976708
2010-05-07,105.44685979567197
2010-05-10,105.00354971427744
2010-05-11,104.2039599177494
2010-05-12,104.73095013228895
2010-05-13,105.1662411757292
2010-05-14,104.6592753341496
2010-05-17,104.61585288876475
2010-05-18,104.86612885786721
2010-05-19,105.43594089617386
2010-05-20,105.40350951010467
2010-05-21,106.00447596602461
2010-05-24,105.23780331510262
2010-05-25,105.44294087926694
2010-05-26,105.94568483247483
2010-05-27,107.16061146025817
2010-05-28,105.36309123340637
2010-06-01,106.66537562975606
2010-06-02,106.37576040783584
2010-06-03,106.55699497791338
2010-06-04,106.27168719240193
2010-06-07,105.83148230742619
2010-06-08,106.78902027057647
2010-06-09,106.37029893942295
2010-06-10,107.09746753027791
2010-06-11,106.99493675784161
2010-06-14,107.60383917212977
2010-06-15,108.05481814050296
2010-06-16,107.00591151089718
2010-06-17,107.51480908742266
2010-06-18,107.99137555113624
2010-06-21,108.94562676844969
2010-06-22,107.77772845193269
2010-06-23,107.76483935569908
2010-06-24,106.73993998189714
2010-06-25,106.95142075840191
2010-06-28,106.1924300939721
2010-06-29,105.86871608983468
2010-06-30,107.36797523695402
2010-07-01,106.26492003379626
2010-07-02,106.2525152210879
2010-07-06,106.57632308523792
2010-07-07,106.68507154167771
2010-07-08,107.4380709450465
2010-07-09,107.32094584861957
2010-07-12,107.03508179521947
2010-07-13,108.11388083323503
2010-07-14,107.03226334386069
2010-07-15,106.65013195370473
2010-07-16,106.1906739412101
2010-07-19,105.90316406910192
2010-07-20,105.9528985781137
2010-07-21,106.34398496637665
2010-07-22,106.59774638104268
2010-07-23,105.77829966678215
2010-07-26,105.65726907303313
2010-07-27,105.77164490968667
2010-07-28,106.37586723001648
2010-07-29,104.59348244083259
2010-07-30,105.81723088763431
2010-08-02,105.68986171928795
2010-08-03,106.66237150551254
2010-08-04,105.27146505066888
2010-08-05,105.7179738831217
2010-08-06,105.87458909947372
2010-08-09,105.93860306180045
2010-08-10,106.09536319071579
2010-08-11,105.45991269202352
2010-08-12,105.97968359369348
2010-08-13,106.43940133638918
2010-08-16,106.48944157929313
2010-08-17,106.31970397224241
2010-08-18,106.99913474731312
2010-08-19,106.07916946573057
2010-08-20,106.5147675882773
2010-08-23,106.78663816016935
2010-08-24,106.62818340327803
2010-08-25,106.61725513388079
2010-08-26,107.1472342434795
2010-08-27,107.10395228890731
2010-08-30,106.8284780875888
2010-08-31,107.7592011750224
2010-09-01,107.44690459543598
2010-09-02,107.22256164069323
2010-09-03,107.61783258098517
2010-09-07,107.1342207987454
2010-09-08,108.24952975548747
2010-09-09,107.92630662814909
2010-09-10,107.73715779845227
2010-09-13,108.065473072371
2010-09-14,107.9109148327416
2010-09-15,108.82328118863538
2010-09-16,108.28956158105544
2010-09-17,108.42937399276906
2010-09-20,107.72292138190556
2010-09-21,107.73227642179202
2010-09-22,108.92451669834946
2010-09-23,107.96066304796315
2010-09-24,106.84583097929675
2010-09-27,108.37927952524018
2010-09-28,108.4203858306525
2010-09-29,108.73683718386651
2010-09-30,108.14093308777846
2010-10-01,108.09507214008683
2010-10-04,109.03058348700307
2010-10-05,108.93330350031711
2010-10-06,108.54724273279874
2010-10-07,108.84980210088709
2010-10-08,109.175577137449
2010-10-11,108.98588797824175
2010-10-12,109.20585170901387
2010-10-13,109.14226578754307
2010-10-14,108.91092757070552
2010-10-15,108.54665359622386
2010-10-18,108.77394269572768
2010-10-19,108.97409993385622
2010-10-20,108.37048395531271
2010-10-21,108.65144675962954
2010-10-22,108.88319651676909
2010-10-25,108.97474208239896
2010-10-26,109.13258950981854
2010-10-27,109.00001460683511
2010-10-28,108.91041637145352
2010-10-29,108.92535550258582
2010-11-01,109.59399227209774
2010-11-02,109.56045742933927
2010-11-03,108.96684067797024
2010-11-04,109.75414132633863
2010-11-05,109.60033039230126
2010-11-08,109.4149695501625
2010-11-09,109.69540007590288
2010-11-10,109.39704910005369
2010-11-11,109.44731583669173
2010-11-12,109.19093969192951
2010-11-15,109.33071579639825
2010-11-16,109.28745126356122
2010-11-17,108.86065317550741
2010-11-18,109.27960861247222
2010-11-19,109.34271887722944
2010-11-22,109.61976886426477
2010-11-23,109.36213813990763
2010-11-24,109.28200573278124
2010-11-26,109.53135549240348
2010-11-29,109.76678619559974
2010-11-30,109.70905421056017
2010-12-01,110.33563970601818
2010-12-02,109.2827196041958
2010-12-03,109.77932911756838
2010-12-06,109.49287643696283
2010-12-07,109.72802367036529
2010-12-08,109.49165199941496
2010-12-09,108.65468254429888
2010-12-10,110.14063276803837
2010-12-13,109.80229121244206
2010-12-14,109.59659105471194
2010-12-15,109.80423930695383
2010-12-16,109.58114494243583
2010-12-17,109.06398910601702
2010-12-20,108.22798130701081
2010-12-21,109.12367370882944
2010-12-22,108.32793299769551
2010-12-23,109.91814958577234
2010-12-27,109.39460244648754
2010-12-28,109.11003197002486
2010-12-29,109.23825121948985
2010-12-30,109.13849624996216
2010-12-31,109.39163702475277
2011-01-03,106.80502117740065
2011-01-04,109.88932797139333
2011-01-05,109.01978172254506
2011-01-06,108.8965476010403
2011-01-07,109.31839104741687
2011-01-10,109.46319217731836
2011-01-11,108.86242177570495
2011-01-12,108.88179715214065
2011-01-13,109.07518399170115
2011-01-14,108.49511332353009
2011-01-18,109.6409536523382
2011-01-19,109.43706949816959
2011-01-20,108.57780714522661
2011-01-21,108.9844872836838
2011-01-24,108.98956792832001
2011-01-25,107.9953052377057
2011-01-26,108.6714617061044
2011-01-27,108.75390592563501
2011-01-28,109.1083350250155
2011-01-31,108.94354229599024
2011-02-01,108.2416463074746
2011-02-02,108.94114558115959
2011-02-03,109.26962900441073
2011-02-04,109.41769219648795
2011-02-07,109.17575822239546
2011-02-08,109.36166830887353
2011-02-09,109.37970559438912
2011-02-10,109.56414087573631
2011-02-11,109.6864158828196
2011-02-14,109.88085403003397
2011-02-15,109.91864370113649
2011-02-16,109.70670558015854
2011-02-17,109.99119321882382
2011-02-18,109.98297341897448
2011-02-22,110.9484960919164
2011-02-23,110.17642066151512
2011-02-24,110.60679270685014
2011-02-25,109.50376937097931
2011-02-28,109.26761298016513
2011-03-01,109.6707337416977
2011-03-02,109.35232914247341
2011-03-03,109.37163466909051
2011-03-04,110.30274755359969
2011-03-07,110.39524512647998
2011-03-08,110.3840928210455
2011-03-09,109.76696264485093
2011-03-10,110.77473599012626
2011-03-11,110.0965377503479
2011-03-14,110.15985264459893
2011-03-15,109.69059599019549
2011-03-16,110.26881792986151
2011-03-17,110.11772292600524
2011-03-18,110.17473997373119
2011-03-21,110.05375872723833
2011-03-22,109.4416308515354
2011-03-23,110.06823516126984
2011-03-24,109.95990269136679
2011-03-25,110.91865234259994
2011-03-28,110.80238733868389
2011-03-29,111.16749892164746
2011-03-30,110.83488161880253
2011-03-31,110.40849536117214
2011-04-01,110.92963672272936
2011-04-04,110.90214737796512
2011-04-05,110.48779148451733
2011-04-06,110.97443448931523
2011-04-07,110.68826025186989
2011-04-08,110.88284753216203
2011-04-11,111.01131417463351
2011-04-12,111.20657172237311
2011-04-13,110.59884456160353
2011-04-14,111.53870687199657
2011-04-15,109.99943255401438
2011-04-18,109.94413593167012
